sample,reading_set,simulated_nodes,real_nodes,exec_time
7,1,21,16,0.05394430000160355
7,2,36,1,0.05519469999126159
7,3,30,7,0.05123739999544341
7,4,26,11,0.05783920000249054
7,5,30,7,0.050708599999779835
7,6,31,6,0.050333899998804554
7,7,24,13,0.05114789999788627
7,8,27,10,0.05416960000002291
7,9,29,8,0.05147289999877103
7,10,24,13,0.05188780000025872
7,11,23,14,0.05266960000153631
7,12,23,14,0.05158810000284575
7,13,31,6,0.05012919999717269
7,14,23,14,0.05347569999867119
7,15,35,2,0.050572400010423735
7,16,23,14,0.05253149999771267
7,17,36,1,0.05098559999896679
7,18,30,7,0.0516732999967644
7,19,34,3,0.05339220000314526
7,20,31,6,0.05111239998950623
7,21,31,6,0.05243460000201594
7,22,23,14,0.05428359999496024
7,23,29,8,0.05532590000075288
7,24,23,14,0.05329090000304859
7,25,28,9,0.05621229999815114
7,26,35,2,0.054136300008394755
7,27,22,15,0.05304769999929704
7,28,34,3,0.05370519999996759
7,29,35,2,0.05084589999751188
7,30,36,1,0.05169419999583624
7,31,24,13,0.052487299995846115
7,32,24,13,0.05149939999682829
7,33,32,5,0.05094489999464713
7,34,36,1,0.05226919999404345
7,35,33,4,0.04925710000679828
7,36,29,8,0.05374070000834763
7,37,26,11,0.05544250000093598
7,38,23,14,0.056878200004575774
7,39,29,8,0.05422419999376871
7,40,23,14,0.055408199987141415
7,41,30,7,0.056629099999554455
7,42,27,10,0.05950489999668207
7,43,25,12,0.05627400000230409
7,44,26,11,0.05380219999642577
7,45,26,11,0.053573199998936616
7,46,26,11,0.05288440000731498
7,47,23,14,0.05564349998894613
7,48,36,1,0.05482130000018515
7,49,23,14,0.05351290000544395
7,50,36,1,0.05355950001103338
7,51,26,11,0.06313369999406859
7,52,25,12,0.06147909999708645
7,53,32,5,0.05270510000991635
7,54,29,8,0.052830999993602745
7,55,29,8,0.06750010000541806
7,56,28,9,0.05688180000288412
7,57,28,9,0.05382040000404231
7,58,33,4,0.05332450001151301
7,59,23,14,0.05875259998720139
7,60,30,7,0.05621029999747407
7,61,27,10,0.055080999998608604
7,62,26,11,0.05862100000376813
7,63,26,11,0.060273199997027405
7,64,25,12,0.05519280000589788
7,65,26,11,0.05691610000212677
7,66,24,13,0.05410490000213031
7,67,35,2,0.05264979999628849
7,68,25,12,0.05193669999425765
7,69,34,3,0.05585659999633208
7,70,32,5,0.05239520000759512
7,71,29,8,0.0557565000053728
7,72,21,16,0.051074000002699904
7,73,36,1,0.05039340000075754
7,74,22,15,0.05095029999210965
7,75,24,13,0.05187200001091696
7,76,26,11,0.05102610000176355
7,77,32,5,0.056880200005252846
7,78,33,4,0.05331470000965055
7,79,29,8,0.04981430000043474
7,80,32,5,0.04998080000223126
7,81,35,2,0.0528440999914892
7,82,33,4,0.053551100005279295
7,83,22,15,0.054075500011094846
7,84,24,13,0.05274560001271311
7,85,21,16,0.05059620000247378
7,86,27,10,0.05058449998614378
7,87,25,12,0.0514128999930108
7,88,26,11,0.05235700000775978
7,89,35,2,0.05135200000950135
7,90,23,14,0.05193859999417327
7,91,29,8,0.05202639999333769
7,92,23,14,0.054254900009254925
7,93,25,12,0.05301680001139175
7,94,32,5,0.051586700006737374
7,95,29,8,0.05086960000335239
7,96,36,1,0.05330780000076629
7,97,27,10,0.05499680001230445
7,98,36,1,0.059513000000151806
7,99,23,14,0.05233569999109022
8,0,33,4,0.05547239999577869
8,1,30,7,0.05203199999232311
8,2,35,2,0.05490309999731835
8,3,34,3,0.06102680000185501
8,4,21,16,0.05602740000176709
8,5,30,7,0.05833709999569692
8,6,31,6,0.05231129999447148
8,7,28,9,0.05193669999425765
8,8,31,6,0.050766400003340095
8,9,23,14,0.05187619999924209
8,10,22,15,0.05260560000897385
8,11,21,16,0.05258990000584163
8,12,27,10,0.05194449999544304
8,13,27,10,0.05100269999820739
